Number,Title,Author,Genre,SubGenre
1,Fundamentals of Wavelets,"Goswami, Jaideva",tech,signal_processing
2,Data Smart,"Foreman, John",tech,data_science
3,God Created the Integers,"Hawking, Stephen",tech,mathematics
4,Superfreakonomics,"Dubner, Stephen",science,economics
5,Orientalism,"Said, Edward",nonfiction,history
6,"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",tech,data_science
7,Integration of the Indian States,"Menon, V P",nonfiction,history
8,"Drunkard's Walk, The","Mlodinow, Leonard",science,mathematics
9,Image Processing & Mathematical Morphology,"Shih, Frank",tech,signal_processing
10,How to Think Like Sherlock Holmes,"Konnikova, Maria",nonfiction,psychology
11,Data Scientists at Work,Sebastian Gutierrez,tech,data_science
12,Slaughterhouse Five,"Vonnegut, Kurt",fiction,classic
13,Birth of a Theorem,"Villani, Cedric",science,mathematics
14,Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,computer_science
15,"Age of Wrath, The","Eraly, Abraham",nonfiction,history
16,"Trial, The","Kafka, Frank",fiction,classic
17,Statistical Decision Theory',"Pratt, John",tech,data_science
18,Data Mining Handbook,"Nisbet, Robert",tech,data_science
19,"New Machiavelli, The","Wells, H. G.",fiction,novel
20,Physics & Philosophy,"Heisenberg, Werner",philosophy,science
21,Making Software,"Oram, Andy",tech,computer_science
22,"Analysis, Vol I","Tao, Terence",tech,mathematics
23,Machine Learning for Hackers,"Conway, Drew",tech,data_science
24,"Signal and the Noise, The","Silver, Nate",tech,data_science
25,Python for Data Analysis,"McKinney, Wes",tech,data_science
26,Introduction to Algorithms,"Cormen, Thomas",tech,computer_science
27,"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,history
28,"Outsider, The","Camus, Albert",fiction,classic
29,"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,classic
30,"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,classic
31,"Wealth of Nations, The","Smith, Adam",science,economics
32,"Pillars of the Earth, The","Follett, Ken",fiction,novel
33,Mein Kampf,"Hitler, Adolf",nonfiction,autobiography
34,"Tao of Physics, The","Capra, Fritjof",science,physics
35,Surely You're Joking Mr Feynman,"Feynman, Richard",science,physics
36,"Farewell to Arms, A","Hemingway, Ernest",fiction,classic
37,"Veteran, The","Forsyth, Frederick",fiction,novel
38,False Impressions,"Archer, Jeffery",fiction,novel
39,"Last Lecture, The","Pausch, Randy",nonfiction,autobiography
